ABE	0
ABI	0
ABQ	2
ABR	0
ABY	0
ACK	0
ACT	0
ACV	0
ACY	0
ADK	0
ADQ	0
AEX	0
AGS	0
AKN	0
ALB	0
ALO	0
AMA	2
ANC	0
APN	0
ASE	2
ATL	1
ATW	0
AUS	0
AVL	0
AVP	0
AZO	0
BDL	0
BET	0
BFL	0
BGM	0
BGR	0
BHM	0
BIL	2
BIS	0
BJI	0
BLI	0
BMI	0
BNA	0
BOI	2
BOS	3
BPT	0
BQK	0
BRD	0
BRO	0
BRW	0
BTM	2
BTR	0
BTV	0
BUF	0
BUR	0
BWI	3
BZN	2
CAE	0
CAK	0
CDC	2
CDV	0
CEC	0
CGI	0
CHA	0
CHO	0
CHS	0
CID	0
CIU	0
CKB	0
CLD	0
CLE	0
CLL	0
CLT	3
CMH	0
CMI	0
CMX	0
CNY	2
COD	2
COS	2
COU	0
CPR	2
CRP	0
CRW	0
CSG	0
CVG	0
CWA	0
DAB	0
DAL	3
DAY	0
DBQ	0
DCA	3
DEN	1
DFW	1
DHN	0
DIK	0
DLG	0
DLH	0
DRO	2
DSM	0
DTW	3
DVL	0
EAU	0
ECP	0
EGE	2
EKO	2
ELM	0
ELP	2
ERI	0
ESC	0
EUG	0
EVV	0
EWN	0
EWR	3
EYW	0
FAI	0
FAR	0
FAT	0
FAY	0
FCA	2
FLG	2
FLL	3
FNL	2
FNT	0
FSD	0
FSM	0
FWA	0
GCC	2
GCK	2
GEG	0
GFK	0
GGG	0
GJT	2
GNV	0
GPT	0
GRB	0
GRI	0
GRK	0
GRR	0
GSO	0
GSP	0
GST	0
GTF	2
GTR	0
GUC	2
HDN	2
HIB	0
HLN	2
HNL	0
HOB	2
HOU	3
HPN	0
HRL	0
HSV	0
HYA	0
HYS	0
IAD	0
IAG	0
IAH	3
ICT	0
IDA	2
ILG	0
ILM	0
IMT	0
IND	0
INL	0
ISN	0
ISP	0
ITH	0
ITO	0
JAC	2
JAN	0
JAX	0
JFK	3
JLN	0
JMS	0
JNU	0
KOA	0
KTN	0
LAN	0
LAR	2
LAS	3
LAW	0
LAX	1
LBB	2
LBE	0
LCH	0
LEX	0
LFT	0
LGA	3
LGB	0
LIH	0
LIT	0
LNK	0
LRD	0
LSE	0
LWS	0
MAF	2
MBS	0
MCI	0
MCO	3
MDT	0
MDW	3
MEI	0
MEM	0
MFE	0
MFR	0
MGM	0
MHK	0
MHT	0
MIA	3
MKE	0
MKG	0
MLB	0
MLI	0
MLU	0
MMH	2
MOB	0
MOT	0
MQT	0
MRY	0
MSN	0
MSO	2
MSP	3
MSY	0
MTJ	2
MVY	0
MYR	0
OAJ	0
OAK	0
OGG	0
OKC	0
OMA	0
OME	0
ONT	0
ORD	1
ORF	0
ORH	0
OTH	0
OTZ	0
PAH	0
PBG	0
PBI	0
PDX	0
PGD	0
PHF	0
PHL	3
PHX	3
PIA	0
PIB	0
PIH	2
PIT	0
PLN	0
PNS	0
PSC	0
PSG	0
PSP	0
PUB	2
PVD	0
PWM	0
RAP	2
RDD	0
RDM	2
RDU	0
RHI	0
RIC	0
RKS	2
RNO	2
ROA	0
ROC	0
ROW	2
RST	0
RSW	0
SAF	2
SAN	3
SAT	0
SAV	0
SBA	0
SBN	0
SBP	0
SCC	0
SCE	0
SDF	0
SEA	3
SFO	1
SGF	0
SGU	2
SHV	0
SIT	0
SJC	0
SJT	0
SLC	3
SMF	0
SMX	0
SNA	0
SPI	0
SPS	0
SRQ	0
STC	0
STL	0
STS	0
SUN	2
SUX	0
SWF	0
SYR	0
TLH	0
TOL	0
TPA	3
TRI	0
TTN	0
TUL	0
TUS	0
TVC	0
TWF	2
TXK	0
TYR	0
TYS	0
UIN	0
UST	0
VEL	2
VLD	0
VPS	0
WRG	0
WYS	2
XNA	0
YAK	0
YUM	0
